search_keyword,pubDate,title_korean,description_raw,source,link,summary_korean,importance
액티비티 플랫폼,2026. 7. 9.,"길 안내부터 숏폼까지...T맵, '모빌리티 SNS'로 진화","액티비티 등 장소와 운전팁, 블랙박스, 쇼핑·팝업, 정보성·유머 등 생활 정보 카테고리로 구성됐다. 전창근 티맵모빌리티 최고제품책임자(CPO)는 9일 서울특별시 중구 27타워에서 열린 티맵모빌리티 이동 라이프 플랫폼...",zdnet.co.kr,https://n.news.naver.com/mnews/article/092/0002429907?sid=105,,
액티비티 플랫폼,2026. 7. 9.,"티맵, AI 입은 '이동 플랫폼' 공개…숏폼으로 승부수",이동 플랫폼 경쟁에 본격적으로 뛰어들었다. 이용자가 직접 방문한 장소를 짧은 영상으로 공유하는 '티맵... 장기적으로는 숙소와 액티비티를 함께 추천하는 여행 AI 에이전트와 차량용 음성 AI 에이전트를 출시해...,newsway.co.kr,https://www.newsway.co.kr/news/view?ud=2026070912240459683,,
액티비티 플랫폼,2026. 7. 9.,"'공룡 OTA' 따라가선 먹힌다…""韓 토종여행사만의 체급 키워야""","국내 업체들이 플랫폼으로의 전환을 서두르는 사이 글로벌 OTA는 이미 항공권과 호텔 예약을 넘어 메타서치와 액티비티, 결제, 고객 데이터를 아우르는 거대한 플랫폼 생태계를 구축했기 때문이다. ""패키지만 팔아선...",news1.kr,https://n.news.naver.com/mnews/article/421/0009048904?sid=103,,
액티비티 플랫폼,2026. 7. 8.,"BMW파이낸셜, 창립 25주년 기념 신형 IX3 프로모션","BMW파이낸셜서비스코리아가 창립 25주년을 기념, 차세대 순수전기 스포츠액티비티차(SAV) '더 뉴 BMW iX3... 금융 솔루션을 제공하고 있다. 디지털 금융 플랫폼(My FinCar)을 통해 금융 서비스 접근성을 높이고 있다.",etnews.com,https://n.news.naver.com/mnews/article/030/0003445612?sid=103,,
액티비티 플랫폼,2026. 7. 8.,"투어비스-라스베이거스 관광청, 현지 투어·액티비티 할인 프로모션 진...","라스베이거스 인기 상품 할인 프로모션 [사진=투어비스]  온라인 여행 플랫폼 투어비스가 라스베이거스 관광청과 공동으로 현지 투어, 입장권, 액티비티 상품을 할인하는 프로모션을 오는 7월 31일까지 진행한다. 이번...",discoverynews.kr,https://www.discoverynews.kr/news/articleView.html?idxno=1095541,,
액티비티 플랫폼,2026. 7. 8.,"BMW 파이낸셜 서비스, 창립 25주년 맞아 iX3 구매 금융 지원",BMW 파이낸셜 서비스 코리아는 창립 25주년과 순수전기 스포츠액티비티차량(SAV) '더 뉴 BMW iX3' 출시를 맞아... 최근에는 디지털 금융 플랫폼 'My FinCar'를 운영하며 비대면 금융 서비스도 확대하고 있다. 회사 측은 이번...,press9.kr,http://www.press9.kr/news/articleView.html?idxno=79088,,
액티비티 플랫폼,2026. 7. 8.,글로벌 OTA 장악·中 공습 속수무책…기울어진 운동장 갇힌 K-여행,"이들은 숙박 예약을 넘어 항공권과 액티비티, 교통 등 여행 전 과정을 하나의 플랫폼 안에서 제공하며 시장 지배력을 키우고 있다. 부킹닷컴과 익스피디아도 2010년대 중반 국내 시장에 진출한 이후 외국인 대상 숙박...",news1.kr,https://n.news.naver.com/mnews/article/421/0009046451?sid=103,,
액티비티 플랫폼,2026. 7. 8.,"[유통혁명 2026③] ""사는 곳에서 노는 곳으로""…오프라인의 역공","EBN산업경제는 '유통혁명' 4부작을 통해 플랫폼 경쟁부터 공간 혁신, AI가 이끄는 미래 유통까지 산업 전반의... 등 액티비티 제품에 이어 데이캠프 재킷·루벤 배킷 등 시즌 제품을 경험할 수 있도록 고객 접점을 넓혔다....",ebn.co.kr,https://www.ebn.co.kr/news/articleView.html?idxno=1715354,,
액티비티 플랫폼,2026. 7. 7.,"세종시문화관광재단, '감각세종' 체험형 관광 콘텐츠 공모전 진행","및 액티비티), 머무는 감각(숙박·웰니스·휴식), 기타 감각(세종의 매력을 담은 자유 콘텐츠) 등이다. 참가... OTA 플랫폼 판매 수수료 면제 기간 추가 연장, 기획 기사 게재 등의 추가 혜택이 제공된다. 김지훈...",sportschosun.com,https://n.news.naver.com/mnews/article/076/0004423298?sid=103,,
액티비티 플랫폼,2026. 7. 7.,"[인터뷰] 30년 크루즈 여행 외길, 이재명 투어마케팅코리아 대표","예약 플랫폼 크루즈TMK를 런칭하며 토종 크루즈 OTA를 일찌감치 설립했다. 이를 통해 누구나 한 곳에서 전... 워터파크와 액티비티까지 선내의 모든 인프라가 요금에 포함되어 있어, 남녀노소 불문하고 추가 비용 부담 없이...",gukjenews.com,https://www.gukjenews.com/news/articleView.html?idxno=3628943,,
